,date,vues,type,vente par tranche,promesse de vente,type location,promotion,type bien,avancement,contact,haut standing,ville,quartier,residence,proximite,superficie,etage,pieces,plusieurs logements,exposition exterieur,caracteristiques interieur,commodites,prix,paiement par,proximité,étage,pièces,commodités,conditions de paiement
0,16/05/2023 13:59:04,48519,vente,True,False,,True,appartement,fini,primat promotion,True,alger,el achour,residence l'atrium,"['axe principal', 'sebala']","[80, 200]",,,True,pierre naturelle,"['parquet', 'porcelaine']","['parking sous-sol', 'ascenseurs']",null,,,,,,
0,15/05/2023 19:00:11,10551,vente,False,False,,True,villa,fini,promotion immobiliere nbn,True,oran,canastel,,"['plage', 'centre-ville']",[375],r+2,,False,"['sud', 'ouest']","['climatisation', 'cheminee']","['garage', 'jardin']",null,,,,,,
0,16/05/2023 08:31:32,300,vente,True,True,,True,appartement,fini,cle home,True,alger,bordj el kiffan,,"['commerce', 'transport']",[113.3],2,4,False,"['double', 'façade']","['moderne', 'standing']","['interphone', 'surveillance']",22000000,,,,,,
0,16/05/2023 17:15:10,263,vente,True,False,,True,appartement,fini,my house immo,False,alger,bordj el kiffan,,"['commerces', 'transports']",[113.3],2,4,False,"['sans vis-à-vis', 'vue degagee']","['meuble', 'ascenseur']","['clôture', 'vue']",22000000,,,,,,
0,14/05/2023 12:23:13,6797,vente,False,False,,True,appartement,semi fini,immobilier 2022,False,blida,halouyia,none,"['villa', 'quartier']",[150],4,4,False,,['terrasse individuelle'],['garage'],95000,,,,,,
0,11/05/2023 15:45:10,435,vente,True,True,,True,appartement,fini,warehouse,True,alger,dely brahim,,"['ecoles', 'mosquee']",[104],"1,2,3",4,False,"calme, ensoleille","['moderne', 'spacieux']","['ascenseur', 'parking']",21000000,,,,,,
0,10/05/2023 10:14:15,443,location,,,12 mois,,appartement,,agence mt immobilier,,alger,ouled fayet,residence securise 24 heures,"['ooredoo', 'autoroute']",['140'],,,False,,"['cuisine equipee', 'grand salon']","['box de stationnement', 'ascenseur']",110000,12 mois,,,,,
0,16/05/2023 16:29:55,5107,vente,True,False,,True,appartement,fini,plaza immo,True,alger,bordj el kiffan,,"['route principale', 'sntr']",[113.3],6,4,False,vue degagee,"['bloc fini', 'equipe']","['ascenseur', 'interphone']",null,,,,,,
0,16/05/2023 13:59:04,11369,vente,True,False,,True,appartement,fini,primat promotion,True,alger,el achour,oued romane,"['calme', 'accessible']",[109.4],1,3,False,,"['moderne', 'importation']","['parking', 'ascenseurs']",null,,,,,,
0,12/05/2023 19:00:09,436,vente,,,,True,villa,fini,agence immobiliere carrefour agree par l'etat,True,blida,guerrouaou,,"['hamoud', 'boualam']",['440'],r+1,9,False,,"['jardin', 'terrasse']",['garage'],56000000,,,,,,
0,16/05/2023 12:45:11,269,vente,True,False,,True,appartement,fini,bati immo,True,alger,bordj el kiffan,residence fermee,"['route principale', 'tous commodites']",['113.3'],2,4,False,,"['bonne finition', 'immeuble']","['service gardinage', 'ascenseur']",null,,,,,,
0,16/05/2023 16:15:10,762,vente,False,False,,True,studio,semi fini,bati immo,False,alger,bordj el kiffan,,"['commodites', 'parking']",[36],2,,False,,"['ascenseur', 'interphone']",['bâche à eau'],4500000,,,,,,
0,16/05/2023 09:45:26,4805,vente,False,False,,True,villa,fini,agence immobiliere kouba,True,alger,birkhadem,,"['ecole', 'supermarche']",[600],2,7,False,"['sud', 'ouest']","['cheminee', 'climatisation']","['garage', 'jardin']",90000000,,,,,,
0,12/05/2023 19:15:46,119,location,,,12 mois,False,hangar,,smile immo,False,alger,bab ezzouar,,sidi mhammed,[1400],,,False,,,['parc collectife'],750000,,,,,,
0,16/05/2023 11:43:48,698,vente,True,True,,True,appartement,en cours,ki mod,True,alger,bordj el kiffan,résidence fermée et gardiennée 24h/24,"['aéroport', 'tramway']",[83.98],3.5,3,False,,"['semi-prêt', 'localisation stratégique']","['résidence fermée et gardiennée 24h/24', 'près de toutes commodités nécessaires']",11500000,,,,,,
0,16/05/2023 16:29:55,3771,vente,True,False,,True,appartement,semi finit,plaza immo,False,alger,bordj el kiffan,,"['ascenseur', 'parking']",[52],"3,5,6",2,False,,"['salon', 'chambre']","['interphone', 'camera de surveillance']",6500000,,,,,,
0,12/05/2023 19:59:46,604,vente,True,False,,False,local,semi fini,baytelkol immo,False,alger,bordj el kiffan,,"['tramway', 'plage']","[28, 23, 16, 18, 20, 22, 38, 36, 60, 50, 46, 54, 72, 66, 62, 39]",,1,False,,"['rideau electrique', 'semi fini']","['eau', 'gaz']",4000000,,,,,,
0,16/05/2023 08:01:21,433,vente,True,False,,True,appartement,semi fini,gmbp,False,alger,bordj el kiffan,,"['tramway', 'plage']",['87'],5,3,False,,"['cuisine', 'sejour']","['ascenseur', 'interphone']",11750000,,,,,,
0,04/05/2023 09:42:24,8620,vente,True,True,,True,appartement,fini,aymen promotion / chaibi mohamed,True,alger,el achour,houche chaouche,"['commodites', 'environnement']",['100'],4,4,False,"['lumineux', 'ensoleille']","['moderne', 'fonctionnel']","['parking', 'ascenseur']",null,,,,,,
0,16/05/2023 12:46:58,7079,vente,True,False,,False,appartement,fini,luxury immobilier,True,alger,douera,residence haut standing douera,['axes routiers'],['109'],2.3,3.4,False,,['2 façades'],"['ascenseur', 'parking sous-sol']",null,,,,,,
0,16/05/2023 11:50:00,802,location,,,,,appartement,fini,agence mt immobilier,False,alger,ouled fayet,cic3,['ooredoo'],[120],2,4,False,,"['meuble', 'clôture']","['box', 'garage']",110000,12 mois,,,,,
0,14/05/2023 11:56:26,425,vente,True,False,,True,appartement,fini,imtilak immo,True,alger,bordj el kiffan,,"['commerces', 'transports']",['113'],2.5,3.4,False,"['sud', 'est']","['climatisation', 'chauffage']","['ascenseur', 'parking']",20000000,,,,,,
0,16/05/2023 10:18:42,721,vente,True,False,,True,appartement,fini,royal immo,False,alger,bordj el kiffan,,"['camera de surveillance', 'box de stationnement']",[84],1/2/3/4/5/6,3,False,,,['bâche à eau'],10000,,,,,,
0,16/05/2023 16:30:11,61059,vente,True,True,,True,appartement,fini,bf investment group,False,blida,ouled yaich cheraga,,"['autoroute', 'universite']","['48', '100']",,3,False,,"['chauffage central', 'interphone']","['parking', ""reservoir d'eau""]",10000,,,,,,
0,16/05/2023 17:19:20,376,vente,False,True,,False,villa,fini,agence afak,True,alger,khraissia,,"['transport', 'commerces']",[180],r+2,11,False,"['sud', 'ouest']","['cheminee', 'terrasse']","['garage', 'jardin']",null,,,,,,
0,16/05/2023 17:56:21,12783,location,,,,False,appartement,fini,immo express cheraga,False,alger,cheraga,les jardins,"['commerces', 'transports']",['118'],4,3,False,"['calme', 'securite']","['climatisation', 'chauffage central']","['meuble', 'garage']",140000,12 mois,,,,,
0,16/05/2023 15:06:38,2953,vente,True,False,,True,appartement,semi-fini,new house,False,alger,bordj el kiffan,cite clôturee,"['tramway', 'ecole']",[93],1 2 5,4,False,,"['jardin', 'garage']","['mer', 'aeroport']",null,,,,,,
0,16/05/2023 12:46:58,4970,vente,False,False,,False,villa,fini,luxury immobilier,True,alger,douera,,"['hammam', 'terrasse']",[200],,7,False,"ensoleille, calme","['vue degagee', 'pas de vis à vis']",['garage'],40000,,,,,,
0,16/05/2023 09:39:39,87862,vente,True,True,,True,appartement,fini,vivarea promotion,True,alger,bourouba,residence nadjah,"['transport en commun', 'commerces']",[90],2,3,False,"['sud', 'est']","['climatisation', 'chauffage central']","['garage', 'jardin']",null,,,,,,
0,13/05/2023 09:11:08,995,vente,True,False,,True,appartement,semi fini,baytelkol immo,False,alger,bordj el kiffan,,"['tramway', 'plage']",['45'],6,2,False,,"['semi fini', 'individuelle']","['ascenseur', 'parking']",4500000,,,,,,
0,16/05/2023 13:59:04,48521,vente,True,,,True,appartement,fini,primat promotion,True,alger,el achour,résidence l'atrium,,"[80, 200]",,,True,pierre naturelle,"['parquet', 'porcelaine']",,null,,"['axe principal', 'sebala']",,,"['parking sous-sol', 'ascenseurs']",
